term_id,term
777-altLabel,Policy of neutrality
777-prefLabel,Neutrality
778-altLabel,Relations between religions
778-prefLabel,Interreligious relations
780-prefLabel,Interrogations
781-prefLabel,Police investigations
782-prefLabel,Invasion
783-prefLabel,Military operations
784-prefLabel,Search for criminals
785-prefLabel,Investigations
786-altLabel,Occupation - by Italy
786-prefLabel,Italian occupation
788-prefLabel,Jewish cultural figures
789-prefLabel,Rescue by jews
790-altLabel,Jewish organizations
790-prefLabel,Jewish organisations
792-prefLabel,Jewish assets
793-prefLabel,Jewish property
794-prefLabel,Jewish communities
795-prefLabel,Jewish community council
796-prefLabel,Jewish leadership
797-prefLabel,Jewish population
798-prefLabel,Jewish musicians
799-prefLabel,Jewish writers and poets
800-prefLabel,Jewish literature
801-altLabel,Publishing activities and houses
801-prefLabel,Jewish publishing
802-prefLabel,Yizkor books
803-prefLabel,Jewish educators
804-prefLabel,Jewish students
806-prefLabel,Jewish schools
807-prefLabel,"Yeshivas, religious study halls"
808-prefLabel,Jewish fighters
809-prefLabel,Jewish resistance fighters
810-prefLabel,Jewish soldiers
811-prefLabel,Jewish institutions
814-prefLabel,Jewish journalists
815-prefLabel,Jewish newspapers
816-prefLabel,Journalists
817-prefLabel,Jewish jurists and lawyers
818-prefLabel,Jewish labourers
819-prefLabel,Jewish politicians
820-prefLabel,Jewish religious leaders and functionaries
821-prefLabel,Jewish medical personnel
822-prefLabel,Jewish physicians
823-prefLabel,Jewish members of parliament
824-prefLabel,Newspapers
826-prefLabel,Jewish parties
827-prefLabel,Jewish partisans
828-prefLabel,Partisans
829-prefLabel,Physicians
830-prefLabel,Jewish scientists
831-prefLabel,Ostjuden
832-altLabel,Landjudentum
832-prefLabel,Rural jewry
833-altLabel,Prisoners of war - Jews
833-prefLabel,Jewish POWs
834-altLabel,POWs
834-prefLabel,Prisoners of war
837-prefLabel,Rabbis
838-prefLabel,Jewish resistance
839-prefLabel,Jewish spiritual resistance
840-altLabel,Underground fighters
840-prefLabel,Resistance fighters
841-prefLabel,Spiritual resistance
842-prefLabel,Students
843-prefLabel,Reaction of world jewry
844-prefLabel,Judaica
845-prefLabel,Religious studies
846-prefLabel,Synagogues
847-prefLabel,Judenberater
848-prefLabel,Registration of jews
849-prefLabel,Judenreferat
850-prefLabel,Judeo-christian organisations
851-prefLabel,Nazi judges and jurists
852-prefLabel,Kapos
859-altLabel,KdO
859-prefLabel,Kommandeur der Ordnungspolizei
860-prefLabel,Landkommissar
861-prefLabel,Stadtkommissar
862-altLabel,NSDAP-Ortsgruppen
862-prefLabel,Nsdap - ortsgruppen
869-altLabel,Arbeitserziehungslager
869-prefLabel,Work education camps
872-prefLabel,Laws
873-prefLabel,Nazi legislation
874-altLabel,Liberal organizations
874-prefLabel,Liberal organisations
876-prefLabel,Liberal parties
877-prefLabel,Nazi literature
878-prefLabel,Poetry
879-prefLabel,Live burials
880-prefLabel,Looting
882-prefLabel,Marriage certificates
883-prefLabel,Religious life
884-prefLabel,Mass graves
885-prefLabel,Mass murder
886-prefLabel,Murder sites
887-prefLabel,Mayors
889-prefLabel,Nazi science
890-prefLabel,Veterinarians
891-prefLabel,Medical research
892-prefLabel,Pharmacies
893-prefLabel,Monuments
894-prefLabel,Migration policies
896-altLabel,Ruestungskommando
896-prefLabel,Rüstungskommando
897-prefLabel,Sicherungsdivisionen
898-prefLabel,Sieges
899-prefLabel,Navy
900-prefLabel,Wehrbezirkskommandos
901-prefLabel,Militia
902-prefLabel,Volksdeutsche
903-prefLabel,Persecution of mischlinge
904-prefLabel,Persecution of mixed marriage partners
906-altLabel,Monasteries
906-prefLabel,Monastries (orthographie?)
907-prefLabel,Religious institutions
909-prefLabel,Regierungsbezirk
910-prefLabel,Reichsstatthalter
911-prefLabel,Murder of jews
912-prefLabel,Murder of non-jews
913-altLabel,Pogroms
913-prefLabel,Murder of jews after the war
915-altLabel,Killing pits
915-prefLabel,Murder pits
916-prefLabel,Nationa-socialist parties
917-prefLabel,National-socialist movements
918-prefLabel,National socialist movements and organisations
919-prefLabel,Nazi indoctrination
